sep=;
Type;FSWP-26;
Version;1.90SP1;
Date;18.Apr 2023;
Mode;ANALYZER;
Preamplifier;OFF;
Transducer;OFF;
Center Freq;10000000000.000000;Hz
Freq Offset;0.000000;Hz
Start;0.000000;Hz
Stop;20000000000.000000;Hz
Span;20000000000.000000;Hz
Ref Level;-20.000000;dBm
Level Offset;0.000000;dB
Rf Att;0.000000;dB
El Att;0.000000;dB
RBW;300000.000000;Hz
VBW;300000.000000;Hz
SWT;0.060000;s
Sweep Count;0;
Window;1;Frequency Sweep
Ref Position;100.000000;%
Level Range;100.000000;dB
x-Axis;LIN;
y-Axis;LOG;
x-Unit;Hz;
y-Unit;dBm;
Trace;2;
Trace Mode;CLR/WRITE;
Detector;MAXPEAK;
Values;1001;
9990009.9900099895895;-16.831743240356445313;
29970029.970029968768;-86.94635009765625;
49950049.950049951673;-86.24289703369140625;
69930069.930069923401;-87.2247161865234375;
89910089.91008991003;-87.74185943603515625;
109890109.89010989666;-87.1706390380859375;
129870129.87012988329;-88.2804718017578125;
149850149.85014986992;-87.5966796875;
169830169.83016985655;-85.831085205078125;
189810189.81018984318;-83.15454864501953125;
209790209.79020982981;-83.2531890869140625;
229770229.77022981644;-82.33718109130859375;
249750249.75024980307;-80.99620819091796875;
269730269.7302697897;-81.67377471923828125;
289710289.71028977633;-80.341827392578125;
309690309.69030976295;-78.1147308349609375;
329670329.67032974958;-80.17578125;
349650349.65034973621;-79.89234161376953125;
369630369.63036972284;-46.988964080810546875;
389610389.61038970947;-79.3744354248046875;
409590409.5904096961;-79.254638671875;
429570429.57042968273;-79.21530914306640625;
449550449.55044966936;-77.55633544921875;
469530469.53046965599;-79.85478973388671875;
489510489.51048964262;-78.80182647705078125;
509490509.49050962925;-79.3489227294921875;
529470529.47052961588;-79.03936004638671875;
549450549.45054960251;-79.87353515625;
569430569.43056952953;-80.02873992919921875;
589410589.41058945656;-80.201934814453125;
609390609.39060938358;-78.765289306640625;
629370629.37062931061;-78.37595367431640625;
649350649.35064923763;-80.00067138671875;
669330669.33066916466;-78.73781585693359375;
689310689.31068909168;-78.44663238525390625;
709290709.29070901871;-79.2118377685546875;
729270729.27072894573;-80.1085357666015625;
749250749.25074887276;-79.0234222412109375;
769230769.23076879978;-78.16460418701171875;
789210789.21078872681;-79.8162384033203125;
809190809.19080865383;-80.0317230224609375;
829170829.17082858086;-78.568634033203125;
849150849.15084850788;-80.01729583740234375;
869130869.13086843491;-79.83345794677734375;
889110889.11088836193;-78.80863189697265625;
909090909.09090828896;-79.56085205078125;
929070929.07092821598;-80.130462646484375;
949050949.05094814301;-78.1629638671875;
969030969.03096807003;-80.665802001953125;
989010989.01098799706;-80.54218292236328125;
1008991008.9910079241;-81.65021514892578125;
1028971028.9710278511;-78.5754852294921875;
1048951048.9510477781;-81.25699615478515625;
1068931068.9310677052;-79.5460052490234375;
1088911088.9110877514;-79.033905029296875;
1108891108.8911077976;-79.816375732421875;
1128871128.8711278439;-80.4529571533203125;
1148851148.8511478901;-81.3125;
1168831168.8311679363;-79.78519439697265625;
1188811188.8111879826;-79.37404632568359375;
1208791208.7912080288;-79.251312255859375;
